Time,FuelQuantity,OilPressure,OilTemperature,LatitudePosition,LongitudePosition
02-Jun-2001 06:00:51.000,7904,85.4699935913086,102.917694091797,44.9673863936608,-64.5336965912659
02-Jun-2001 06:00:52.000,7904,87.911994934082,101.574584960938,44.9670417430369,-64.5352436896218
02-Jun-2001 06:00:53.000,7904,85.4699935913086,101.574584960938,44.966869417725,-64.5376332672803
02-Jun-2001 06:00:54.000,7904,85.4699935913086,101.574584960938,44.9667009218645,-64.5390118697756
02-Jun-2001 06:00:55.000,7904,85.4699935913086,102.917694091797,44.9665285965526,-64.5414167652397
02-Jun-2001 06:00:56.000,7904,85.4699935913086,102.917694091797,44.9663562712407,-64.5429638635955
02-Jun-2001 06:00:57.000,7904,85.4699935913086,102.917694091797,44.9661839459287,-64.545200263199
02-Jun-2001 06:00:58.000,7904,87.911994934082,102.917694091797,44.9660116206168,-64.5467320437494
02-Jun-2001 06:00:59.000,7904,85.4699935913086,102.917694091797,44.9658431247563,-64.5489684433529
02-Jun-2001 06:01:00.000,7904,87.911994934082,102.917694091797,44.9654984741325,-64.5505155417088
02-Jun-2001 06:01:01.000,7904,85.4699935913086,102.917694091797,44.9654984741325,-64.5527519413123
02-Jun-2001 06:01:02.000,7896,85.4699935913086,102.917694091797,44.9651538235086,-64.5542990396682
02-Jun-2001 06:01:03.000,7896,85.4699935913086,102.917694091797,44.9649814981967,-64.5565354392717
02-Jun-2001 06:01:04.000,7896,87.911994934082,102.917694091797,44.9648130023362,-64.558067219822
02-Jun-2001 06:01:05.000,7896,87.911994934082,102.917694091797,44.9646406770243,-64.5604721152861
02-Jun-2001 06:01:06.000,7896,85.4699935913086,102.917694091797,44.9644683517123,-64.5618353999759
02-Jun-2001 06:01:07.000,7904,87.911994934082,102.917694091797,44.9642960264004,-64.5642556132455
02-Jun-2001 06:01:08.000,7904,85.4699935913086,101.574584960938,44.9641237010885,-64.5656342157408
02-Jun-2001 06:01:09.000,7904,87.911994934082,102.917694091797,44.9639513757766,-64.5680237933993
02-Jun-2001 06:01:10.000,7904,85.4699935913086,102.917694091797,44.9636105546042,-64.5694023958947
02-Jun-2001 06:01:11.000,7904,87.911994934082,102.917694091797,44.9636105546042,-64.5717919735532
02-Jun-2001 06:01:12.000,7904,87.911994934082,102.917694091797,44.9632659039803,-64.5731705760485
02-Jun-2001 06:01:13.000,7904,87.911994934082,102.917694091797,44.9630935786684,-64.5755907893181
02-Jun-2001 06:01:14.000,7904,85.4699935913086,102.917694091797,44.9629212533565,-64.5769540740079
02-Jun-2001 06:01:15.000,7904,85.4699935913086,102.917694091797,44.9627527574959,-64.5791751558059
02-Jun-2001 06:01:16.000,7904,85.4699935913086,102.917694091797,44.962580432184,-64.5807375719673
02-Jun-2001 06:01:17.000,7904,85.4699935913086,102.917694091797,44.9624081068721,-64.5829586537653
02-Jun-2001 06:01:18.000,7904,85.4699935913086,102.917694091797,44.9622357815602,-64.5845057521211
02-Jun-2001 06:01:19.000,7904,85.4699935913086,102.917694091797,44.9620634562483,-64.5867421517247
02-Jun-2001 06:01:20.000,7904,87.911994934082,102.917694091797,44.9617226350758,-64.588273932275
02-Jun-2001 06:01:21.000,7904,87.911994934082,102.917694091797,44.9617226350758,-64.5905103318785
02-Jun-2001 06:01:22.000,7904,87.911994934082,102.917694091797,44.961377984452,-64.5920574302344
02-Jun-2001 06:01:23.000,7904,85.4699935913086,102.917694091797,44.9612056591401,-64.5942938298379
02-Jun-2001 06:01:24.000,7904,85.4699935913086,102.917694091797,44.9610333338282,-64.5956571145277
02-Jun-2001 06:01:25.000,7904,85.4699935913086,102.917694091797,44.9608648379676,-64.5978935141312
02-Jun-2001 06:01:26.000,7904,85.4699935913086,102.917694091797,44.9606925126557,-64.5994406124871
02-Jun-2001 06:01:27.000,7904,85.4699935913086,102.917694091797,44.9605201873438,-64.6016616942851
02-Jun-2001 06:01:28.000,7904,85.4699935913086,102.917694091797,44.9603478620319,-64.6032241104465
02-Jun-2001 06:01:29.000,7904,85.4699935913086,102.917694091797,44.96017553672,-64.6054451922445
02-Jun-2001 06:01:30.000,7904,85.4699935913086,102.917694091797,44.9598347155475,-64.607681591848
02-Jun-2001 06:01:31.000,7904,85.4699935913086,102.917694091797,44.9598347155475,-64.6090448765378
02-Jun-2001 06:01:32.000,7904,85.4699935913086,102.917694091797,44.9594900649237,-64.6112812761413
02-Jun-2001 06:01:33.000,7904,85.4699935913086,102.917694091797,44.9593177396118,-64.6128283744972
02-Jun-2001 06:01:34.000,7904,85.4699935913086,102.917694091797,44.9591454142999,-64.6150647741007
02-Jun-2001 06:01:35.000,7904,85.4699935913086,102.917694091797,44.958973088988,-64.6164280587905
02-Jun-2001 06:01:36.000,7904,85.4699935913086,101.574584960938,44.9588045931274,-64.6186644583941
02-Jun-2001 06:01:37.000,7904,85.4699935913086,102.917694091797,44.9586322678155,-64.6202115567499
02-Jun-2001 06:01:38.000,7904,85.4699935913086,102.917694091797,44.9584599425036,-64.6224326385479
02-Jun-2001 06:01:39.000,7904,85.4699935913086,102.917694091797,44.9582876171917,-64.6239950547093
02-Jun-2001 06:01:40.000,7904,85.4699935913086,104.260772705078,44.9579429665678,-64.6260476406468
02-Jun-2001 06:01:41.000,7904,85.4699935913086,102.917694091797,44.9579429665678,-64.6275947390026
02-Jun-2001 06:01:42.000,7904,85.4699935913086,104.260772705078,44.9576021453954,-64.6298158208006
02-Jun-2001 06:01:43.000,7904,85.4699935913086,102.917694091797,44.9574298200835,-64.631378236962
02-Jun-2001 06:01:44.000,7904,85.4699935913086,104.260772705078,44.9572574947716,-64.6334308228995
02-Jun-2001 06:01:45.000,7904,85.4699935913086,102.917694091797,44.9570851694596,-64.6349779212553
02-Jun-2001 06:01:46.000,7904,85.4699935913086,102.917694091797,44.9569166735991,-64.6371990030533
02-Jun-2001 06:01:47.000,7904,85.4699935913086,104.260772705078,44.9567443482872,-64.6387614192147
02-Jun-2001 06:01:48.000,7904,85.4699935913086,102.917694091797,44.9565720229753,-64.6408140051522
02-Jun-2001 06:01:49.000,7904,87.911994934082,102.917694091797,44.9563996976634,-64.6423457857025
02-Jun-2001 06:01:50.000,7904,85.4699935913086,104.260772705078,44.9560550470395,-64.644582185306
